time,open,high,low,close,volume,timestamp
2017-11-06 00:00:00,1.50000000,1.79900000,0.50000000,1.57100000,120615.34000000,1509926400000
2017-11-07 00:00:00,1.57100000,1.80000000,1.53890000,1.80000000,134129.73000000,1510012800000
2017-11-08 00:00:00,1.79010000,1.99000000,1.74790000,1.98890000,347290.26000000,1510099200000
2017-11-09 00:00:00,1.97810000,2.19970000,1.90000000,1.99000000,287037.20000000,1510185600000
2017-11-10 00:00:00,1.99000000,2.02000000,1.60190000,1.71330000,484658.90000000,1510272000000
2017-11-11 00:00:00,1.79000000,1.92500000,1.58000000,1.65500000,258838.37000000,1510358400000
2017-11-12 00:00:00,1.65670000,1.70000000,1.34000000,1.49000000,457159.72000000,1510444800000
2017-11-13 00:00:00,1.50000000,1.73810000,1.50000000,1.68000000,166770.73000000,1510531200000
2017-11-14 00:00:00,1.68010000,1.73810000,1.53210000,1.59110000,177246.45000000,1510617600000
2017-11-15 00:00:00,1.57210000,1.67940000,1.49000000,1.55320000,297638.34000000,1510704000000
2017-11-16 00:00:00,1.55330000,1.66990000,1.51100000,1.55990000,198029.66000000,1510790400000
2017-11-17 00:00:00,1.55990000,1.57650000,1.49000000,1.50410000,419446.58000000,1510876800000
2017-11-18 00:00:00,1.50410000,1.66990000,1.49200000,1.66990000,172099.86000000,1510963200000
2017-11-19 00:00:00,1.65240000,1.69480000,1.57500000,1.60000000,179701.62000000,1511049600000
2017-11-20 00:00:00,1.60000000,1.65220000,1.56050000,1.64000000,159737.16000000,1511136000000
2017-11-21 00:00:00,1.62570000,1.64190000,1.54000000,1.58740000,413447.37000000,1511222400000
2017-11-22 00:00:00,1.57280000,1.62110000,1.55560000,1.61580000,196457.62000000,1511308800000
2017-11-23 00:00:00,1.60000000,1.61800000,1.53880000,1.57000000,184458.49000000,1511395200000
2017-11-24 00:00:00,1.56440000,1.81870000,1.54000000,1.72920000,644218.58000000,1511481600000
2017-11-25 00:00:00,1.71200000,1.95880000,1.68000000,1.87000000,475443.08000000,1511568000000
2017-11-26 00:00:00,1.85000000,1.91000000,1.76000000,1.83880000,193666.26000000,1511654400000
2017-11-27 00:00:00,1.83880000,1.95320000,1.74000000,1.95320000,480695.73000000,1511740800000
2017-11-28 00:00:00,1.94500000,1.95320000,1.80100000,1.92490000,359515.94000000,1511827200000
2017-11-29 00:00:00,1.92480000,2.04860000,1.55000000,1.75650000,935739.25000000,1511913600000
2017-11-30 00:00:00,1.76410000,2.03800000,1.71000000,1.95000000,748118.06000000,1512000000000
2017-12-01 00:00:00,1.95000000,2.13850000,1.88010000,2.05270000,321456.28000000,1512086400000
2017-12-02 00:00:00,2.05260000,2.11990000,1.97500000,2.07970000,241150.68000000,1512172800000
2017-12-03 00:00:00,2.07970000,2.40000000,2.04380000,2.26170000,346006.60000000,1512259200000
2017-12-04 00:00:00,2.26170000,2.58980000,2.26170000,2.55000000,384958.49000000,1512345600000
2017-12-05 00:00:00,2.53050000,2.75000000,2.50000000,2.61200000,428655.47000000,1512432000000
2017-12-06 00:00:00,2.60000000,2.80000000,2.32720000,2.51340000,379335.63000000,1512518400000
2017-12-07 00:00:00,2.53930000,2.84000000,2.40010000,2.66250000,533510.45000000,1512604800000
2017-12-08 00:00:00,2.64890000,2.80000000,2.20600000,2.79000000,649804.35000000,1512691200000
2017-12-09 00:00:00,2.78900000,2.81000000,2.17770000,2.65000000,477826.16000000,1512777600000
2017-12-10 00:00:00,2.65000000,2.66480000,2.13150000,2.46190000,562267.17000000,1512864000000
2017-12-11 00:00:00,2.46160000,2.78000000,2.45050000,2.68700000,381605.55000000,1512950400000
2017-12-12 00:00:00,2.68700000,2.73970000,2.45450000,2.55470000,541865.92000000,1513036800000
2017-12-13 00:00:00,2.55470000,2.74000000,2.26500000,2.71900000,702146.43000000,1513123200000
2017-12-14 00:00:00,2.71940000,3.15210000,2.69810000,3.15190000,998488.09000000,1513209600000
2017-12-15 00:00:00,3.15180000,4.39900000,2.99000000,4.12000000,919574.18000000,1513296000000
2017-12-16 00:00:00,4.16000000,4.72010000,3.81720000,4.63780000,775606.79000000,1513382400000
2017-12-17 00:00:00,4.63000000,6.70000000,4.59600000,5.99900000,1555662.04000000,1513468800000
2017-12-18 00:00:00,5.99900000,6.10000000,4.75000000,6.00000000,1430171.07000000,1513555200000
2017-12-19 00:00:00,5.98000000,6.46300000,5.27250000,5.69990000,1784870.53000000,1513641600000
2017-12-20 00:00:00,5.69000000,5.70000000,4.68000000,5.15020000,1397302.05000000,1513728000000
2017-12-21 00:00:00,5.18190000,5.68990000,4.42000000,5.15960000,996548.76000000,1513814400000
2017-12-22 00:00:00,5.15960000,5.19960000,3.25000000,4.29120000,1599471.66000000,1513900800000
2017-12-23 00:00:00,4.29120000,4.99800000,4.17000000,4.40000000,964500.62000000,1513987200000
2017-12-24 00:00:00,4.40000000,5.20000000,3.80000000,5.18100000,1047106.95000000,1514073600000
2017-12-25 00:00:00,5.18990000,6.88000000,5.02900000,6.46310000,1480881.60000000,1514160000000
2017-12-26 00:00:00,6.46310000,10.79300000,6.35000000,9.25400000,3081660.72000000,1514246400000
2017-12-27 00:00:00,9.28610000,11.30000000,8.26050000,10.07310000,2851073.22000000,1514332800000
2017-12-28 00:00:00,10.07000000,10.25000000,7.80000000,9.25000000,2593236.47000000,1514419200000
2017-12-29 00:00:00,9.28000000,9.80200000,8.39000000,8.70940000,1401565.33000000,1514505600000
2017-12-30 00:00:00,8.68080000,8.70940000,6.93010000,7.59470000,1648305.01000000,1514592000000
2017-12-31 00:00:00,7.57830000,8.79800000,7.51750000,8.53000000,1289214.15000000,1514678400000
2018-01-01 00:00:00,8.54780000,8.70000000,7.80000000,8.45000000,654338.84000000,1514764800000
2018-01-02 00:00:00,8.45000000,9.11330000,8.09220000,8.71500000,1262633.42000000,1514851200000
2018-01-03 00:00:00,8.71510000,9.46970000,8.26530000,9.30400000,947392.65000000,1514937600000
2018-01-04 00:00:00,9.30400000,9.65110000,8.55950000,9.14300000,964494.94000000,1515024000000
2018-01-05 00:00:00,9.13500000,16.81720000,8.96510000,14.89080000,2764977.04000000,1515110400000
2018-01-06 00:00:00,14.89080000,23.60000000,14.69990000,22.60000000,3130487.22000000,1515196800000
2018-01-07 00:00:00,22.60000000,22.65990000,18.05000000,18.59400000,1543764.49000000,1515283200000
2018-01-08 00:00:00,18.53750000,19.29990000,14.00180000,17.99710000,2112065.22000000,1515369600000
2018-01-09 00:00:00,18.04000000,20.61140000,16.43500000,17.39900000,1309277.95000000,1515456000000
2018-01-10 00:00:00,17.39920000,17.55540000,14.60040000,17.50000000,1172651.15000000,1515542400000
2018-01-11 00:00:00,17.50000000,23.10790000,13.66000000,21.20240000,3542366.83000000,1515628800000
2018-01-12 00:00:00,21.10220000,25.18000000,19.10000000,22.19990000,2902338.37000000,1515715200000
2018-01-13 00:00:00,22.19990000,23.49980000,21.04000000,22.02460000,1080455.71000000,1515801600000
2018-01-14 00:00:00,22.02520000,22.10000000,18.21000000,20.45410000,1384083.33000000,1515888000000
2018-01-15 00:00:00,20.45460000,23.23100000,19.01130000,19.33960000,2288556.77000000,1515974400000
2018-01-16 00:00:00,19.43760000,19.44750000,9.89000000,13.19960000,9933431.45000000,1516060800000
2018-01-17 00:00:00,13.02620000,15.70000000,9.40010000,14.19980000,9971697.17000000,1516147200000
2018-01-18 00:00:00,14.11910000,15.90000000,13.02030000,14.13970000,6699252.37000000,1516233600000
2018-01-19 00:00:00,14.04050000,15.47990000,13.50100000,14.94470000,3004070.17000000,1516320000000
2018-01-20 00:00:00,14.94470000,16.68000000,14.82490000,16.17120000,2617140.33000000,1516406400000
2018-01-21 00:00:00,16.16020000,16.26000000,13.03390000,14.13340000,3318363.34000000,1516492800000
2018-01-22 00:00:00,14.13340000,14.49780000,11.61010000,12.91000000,2873190.83000000,1516579200000
2018-01-23 00:00:00,12.91490000,13.90000000,11.63700000,13.10220000,2335831.96000000,1516665600000
2018-01-24 00:00:00,13.14940000,14.30000000,12.60000000,13.80000000,1947186.76000000,1516752000000
2018-01-25 00:00:00,13.79980000,14.15160000,13.01000000,13.19050000,1427643.05000000,1516838400000
2018-01-26 00:00:00,13.19050000,13.59890000,12.01000000,13.13440000,1788845.56000000,1516924800000
2018-01-27 00:00:00,13.16900000,13.55100000,12.85000000,13.39940000,992878.39000000,1517011200000
2018-01-28 00:00:00,13.39910000,14.02350000,13.30000000,13.77390000,1377401.90000000,1517097600000
2018-01-29 00:00:00,13.77390000,13.87000000,12.73900000,12.81500000,857953.21000000,1517184000000
2018-01-30 00:00:00,12.82950000,12.98000000,11.11000000,11.47490000,1322539.56000000,1517270400000
2018-01-31 00:00:00,11.46000000,11.54830000,10.55300000,11.31310000,947115.48000000,1517356800000
2018-02-01 00:00:00,11.31310000,11.45000000,8.63000000,9.51380000,2169016.01000000,1517443200000
2018-02-02 00:00:00,9.51380000,10.74900000,7.30000000,9.74840000,4023356.31000000,1517529600000
2018-02-03 00:00:00,9.74850000,10.35400000,8.58180000,9.72520000,2348921.72000000,1517616000000
2018-02-04 00:00:00,9.74970000,9.75270000,8.01200000,8.35110000,2015678.77000000,1517702400000
2018-02-05 00:00:00,8.40030000,8.60050000,6.08010000,6.73150000,3127797.46000000,1517788800000
2018-02-06 00:00:00,6.72160000,8.60000000,5.52330000,8.26300000,6158895.87000000,1517875200000
2018-02-07 00:00:00,8.25020000,9.23600000,7.28000000,8.06470000,4409292.58000000,1517961600000
2018-02-08 00:00:00,8.09790000,8.38870000,8.00120000,8.27910000,91986.49000000,1518048000000
2018-02-09 00:00:00,8.27910000,10.00000000,8.27900000,9.86000000,2406640.35000000,1518134400000
2018-02-10 00:00:00,9.86000000,10.44440000,8.76700000,9.24480000,3349144.70000000,1518220800000
2018-02-11 00:00:00,9.25010000,9.50000000,8.02000000,8.67400000,3021732.48000000,1518307200000
2018-02-12 00:00:00,8.67390000,9.43480000,8.65900000,9.33890000,1912462.38000000,1518393600000
2018-02-13 00:00:00,9.33900000,9.36000000,8.73060000,9.01600000,1365850.96000000,1518480000000
2018-02-14 00:00:00,9.00010000,10.65000000,8.95300000,10.40960000,2568177.67000000,1518566400000
2018-02-15 00:00:00,10.40630000,11.29000000,9.97840000,10.86610000,4236021.22000000,1518652800000
2018-02-16 00:00:00,10.87840000,11.25000000,10.30000000,11.25000000,1968986.94000000,1518739200000
2018-02-17 00:00:00,11.20540000,11.84610000,10.85000000,11.66000000,2278513.20000000,1518825600000
2018-02-18 00:00:00,11.68270000,11.68270000,10.58190000,10.66310000,2183910.15000000,1518912000000
2018-02-19 00:00:00,10.66310000,11.18990000,10.53980000,11.06010000,1336755.03000000,1518998400000
2018-02-20 00:00:00,11.06990000,11.20000000,9.68000000,9.88880000,2357501.48000000,1519084800000
2018-02-21 00:00:00,9.88880000,10.22520000,9.04500000,9.37990000,2277445.93000000,1519171200000
2018-02-22 00:00:00,9.39500000,9.81290000,8.62030000,8.86000000,1792778.94000000,1519257600000
2018-02-23 00:00:00,8.84740000,9.73010000,8.60000000,9.69300000,1621549.49000000,1519344000000
2018-02-24 00:00:00,9.70000000,9.83790000,8.69020000,9.08730000,1356848.25000000,1519430400000
2018-02-25 00:00:00,9.11610000,9.47000000,8.90000000,9.35000000,888973.06000000,1519516800000
2018-02-26 00:00:00,9.36770000,10.09990000,9.09000000,9.91990000,1266163.05000000,1519603200000
2018-02-27 00:00:00,9.91990000,11.11110000,9.77130000,10.56000000,2377225.58000000,1519689600000
2018-02-28 00:00:00,10.56000000,11.17430000,10.32950000,10.45360000,1610363.07000000,1519776000000
2018-03-01 00:00:00,10.46410000,10.68000000,10.32450000,10.47680000,1224834.48000000,1519862400000
2018-03-02 00:00:00,10.47150000,10.58500000,10.11360000,10.23480000,710198.47000000,1519948800000
2018-03-03 00:00:00,10.23470000,10.46940000,10.11710000,10.23990000,636280.81000000,1520035200000
2018-03-04 00:00:00,10.23990000,10.42390000,9.85010000,10.41390000,591499.65000000,1520121600000
2018-03-05 00:00:00,10.41390000,10.45330000,10.08470000,10.08470000,467389.77000000,1520208000000
2018-03-06 00:00:00,10.08400000,10.13400000,9.10250000,9.38990000,939994.70000000,1520294400000
